id_src,block_timestamp_src,event_index_src,extrinsic_index_src,phase_src,module_id_src,event_id_src,extrinsic_hash_src,finalized_src,dest_para_id,block_num_extracted,corr_id,id_dst,block_timestamp_dst,event_index_dst,extrinsic_index_dst,phase_dst,module_id_dst,event_id_dst,extrinsic_hash_dst,finalized_dst,dest_chain,source_chain,latency_s,cost,status
2170176200055,1721315790,21701762-55,21701762-2,0,xcmpallet,Sent,0x7cf115893f7688aa3c8f9cee66176a163fe7b371674b742855f19f40b0190f39,True,1000.0,21701762,0x0a911e72f3fdb411ceca53ad9475532a4abece5b893d737e8915160f654f07e9,671388900004,1721315814,6713889-4,,2,messagequeue,Processed,0x33e847ab84f8725dfcc94b98844eb70cfd6d46d1136e03c1f615a0c8ff90db8f,True,assethub,polkadot,24,181667896,Success
2170156600063,1721314608,21701566-63,21701566-3,0,xcmpallet,Sent,0x102083ab33e0e38885ca41cd41133b42bfc9a24c1f5698390e706200c4076039,True,1000.0,21701566,0x044075422ed9067e5d1e87ca611d675b5d511dc4210d0155753bc6fc92051c3f,671379100004,1721314620,6713791-4,,2,messagequeue,Processed,0x03dd6a19963dfcf637ba63a633dad0767a657c43dad70c063aa54445e6db8a10,True,assethub,polkadot,12,181667896,Success
2170154800056,1721314500,21701548-56,21701548-2,0,xcmpallet,Sent,0xb0a7a609e265488e1dee406d7637149ebfdb7762a75cafdd976a904a2e490372,True,1000.0,21701548,0xbea57d2aa576ac98371524a8eceeb0072dbb893de5428658e64232889dc33cf9,671378200006,1721314512,6713782-6,,2,messagequeue,Processed,0x30fd99fda538c2826cd9904493d44c4da7ff3fce4332d3f6ac5f01e4bee4ffb1,True,assethub,polkadot,12,208678305,Success
2170153800065,1721314440,21701538-65,21701538-3,0,xcmpallet,Sent,0xfabf3ba87a0a180187cdb7d5be064a460e583a40e8e7026312b9ce52bfb7f019,True,1000.0,21701538,0xe86679e10244a82d62b8de36dbbf3939dd8143f391d29021446161c3d0a878ae,671377700006,1721314452,6713777-6,,2,messagequeue,Processed,0x4e3a8ecce56bf4085eb436c2673051a354a398af9cfdfe76fcadcb692e411aa1,True,assethub,polkadot,12,181667896,Success
2170150700057,1721314254,21701507-57,21701507-2,0,xcmpallet,Sent,0x387c131c5b01a38e514639ab7923ffc7b0a2a2a130f99e4c31e3133dcd1c0a59,True,1000.0,21701507,0x6540ce473361684727997377b3650593b2cff46148eeebf486c87aa51f7cff4f,671376200006,1721314272,6713762-6,,2,messagequeue,Processed,0xec89f65444314f4081544e609cff135c5774de5d499f100463f1c612a83bb153,True,assethub,polkadot,18,181667896,Success
2170121900054,1721312508,21701219-54,21701219-2,0,xcmpallet,Sent,0x2672b37ebb2a2f11464ff2da8a58839d6552f78efb5bc89665e7d02791e9ade9,True,1000.0,21701219,0xa2e4da68a7e90318ac0f49264d872b6b2e555e59631e8a3096753a6f40bbbfb7,671361900006,1721312526,6713619-6,,2,messagequeue,Processed,0x5e371c26cfd9ae062f3410ad35625ae6ffabc21e7696a5e4c5ccba0c652730d7,True,assethub,polkadot,18,208678305,Success
2170112500054,1721311944,21701125-54,21701125-2,0,xcmpallet,Sent,0x3937b536b77d6cd04341c3ad7b5b968803b497df3e3199bdd22024e9ab07bca8,True,1000.0,21701125,0x3cd19993fbdf62b46ecef4f981f439edbb46d916fc87ee4ab5f559bf15185c85,671357200004,1721311962,6713572-4,,2,messagequeue,Processed,0x9056b8dbc5ff7b3480d942cbf8a6ff8448bea6806a1cf5ffd40a2fa3ffff3599,True,assethub,polkadot,18,181667896,Success
2170099700052,1721311164,21700997-52,21700997-2,0,xcmpallet,Sent,0xfd0cd01a3934f8a2fcb703ca4ab559cdf6b36b6086f7605cccf470faf1c1953e,True,1000.0,21700997,0x56be5d5d916ad7a0cc2076072063aa2757955fd1de64af7949541ab56f099e02,671350800004,1721311182,6713508-4,,2,messagequeue,Processed,0x9ec913458952009df9121c0510dde6df802916aa19c9b836b41065c79f10231b,True,assethub,polkadot,18,181667896,Success
2170093800065,1721310810,21700938-65,21700938-3,0,xcmpallet,Sent,0xd1906667d471d29d7faf208243c070dad5b60a7f89b08ab62c58861a84117bea,True,1000.0,21700938,0x812c4dfcef515b5ca22ef066d26151e98b8f23153a302a49d9633cc865111aa8,671347900006,1721310828,6713479-6,,2,messagequeue,Processed,0x2852aa74842cd40974c9fdaaf59532d56f23d61521440ce9c9bacd16cb54d0df,True,assethub,polkadot,18,181667896,Success
2170092800056,1721310750,21700928-56,21700928-2,0,xcmpallet,Sent,0xafed6e058bd4e7980869b5414677019550c6555688ccb0718fb5d51226db3e30,True,1000.0,21700928,0x9d5d3348678dbc5542e41fe14418b1d19f59be6d41adc6cf3f58d574ffd2921b,671347400004,1721310768,6713474-4,,2,messagequeue,Processed,0xea4b839d56780a51c2bdcf79209cc04754a8490b36f296f26996659803ca7f0f,True,assethub,polkadot,18,181667896,Success
2170085800056,1721310330,21700858-56,21700858-2,0,xcmpallet,Sent,0x008ad8c7b9101a3d1df737b5e3b8f43b51911b13d0e6ca7288e563baf34fe84d,True,1000.0,21700858,0xfcc7d859d98184c27967e78b7dce9a053bcaef60fa9844d70c2e4ea3b32a1c79,671344000006,1721310348,6713440-6,,2,messagequeue,Processed,0x0a2ea240750dfa442ed291bcc26a9628b1ca6e38e40cc7949364f7e36fd373d2,True,assethub,polkadot,18,181667896,Success
2170081600060,1721310072,21700816-60,21700816-3,0,xcmpallet,Sent,0xa66732609040261f68831e65b807af911158ad1bbdf9f5d09b6d6708c46ad0c4,True,1000.0,21700816,0xab2c4e49e24a6df376af879853270ca4e8785351fc974ea6cc33a91d8240ce24,671341900006,1721310084,6713419-6,,2,messagequeue,Processed,0x96af3ee518cf05c4869946babd8246b6fb2ad94fb02f2ce564537efdec31084b,True,assethub,polkadot,12,181667896,Success
2170062000056,1721308884,21700620-56,21700620-2,0,xcmpallet,Sent,0xe5abbe35c670dca6def7cb01c01340687a6c81e6b073192dd249b26082e1fab0,True,1000.0,21700620,0x94a15b670307dd6cffb214bb9eafbb9f5fb507a39bbf1b73875528ac6a0317ac,671332200004,1721308896,6713322-4,,2,messagequeue,Processed,0xf45da5c1deda5f614055d2617d30ce8254b23debf3cca4aa4fd02cb98b57d41f,True,assethub,polkadot,12,181667896,Success
2170050100055,1721308170,21700501-55,21700501-2,0,xcmpallet,Sent,0x0597cfd5d6d045efdf4d9d96c9695a43918d594f618a542a2116081fae739142,True,1000.0,21700501,0xa18af71472ee7557773243c8bb2114b159192d3e47d1ac402feacce42d1b8b10,671326500004,1721308188,6713265-4,,2,messagequeue,Processed,0x12bc2a27b3a6660aa904085f3da36963483f1abcc0f231f483cd5af972e8a3c1,True,assethub,polkadot,18,181667896,Success
